tag,n,np_,pooled,oracle,gain,a_p,r,grp
sigma_seed2_e10,27189,27,0.6382067717990876,0.7130049747793898,0.07479820298030226,0.44802996581212257,0.7378867338064258,SIGMA seeds
p3_slope1.0_s42_e13,27189,27,0.6209699716174413,0.7010711339236786,0.08010116230623732,0.5912872991572455,0.7444995263015158,other
anchor_w0.3_s42_e14,27189,27,0.6105404124836574,0.6918891826382193,0.08134877015456188,0.6173199280093224,0.7270553401484509,other
p3_a1_d0_s1_D0_coil_seed42_e12,27189,27,0.6028087125337607,0.6671708187010557,0.06436210616729499,0.5707323925346861,0.7066346500604256,FACTORIAL D0 (live)
gld_w5_dg_s42_e14,27189,27,0.5956096223685404,0.6721307273168092,0.0765211049482688,0.6665507786175289,0.7299352996306967,GOLDEN arm
anchor_w1.0_s42_e14,27189,27,0.5942036976906733,0.6610638184653705,0.06686012077469727,0.6216942615331342,0.7020419081868234,other
p3_a0_d0_s0_D0_coil_seed1_e13,27189,27,0.5917360393146281,0.697237817454185,0.10550177813955686,0.4403258450967884,0.7339400732331401,FACTORIAL D0 (live)
p3_a1_d1_s0_D0_coil_seed42_e13,27189,27,0.5915489174596212,0.665460247370667,0.07391132991104576,0.45427670175042706,0.693554189411023,FACTORIAL D0 (live)
gld_slope1.0_s42_e4,27189,27,0.5898555132847724,0.6749052605755356,0.0850497472907632,0.699994379894414,0.7216397596253858,GOLDEN arm
gld_u10bidir_s42_e14,27189,27,0.5893229610333988,0.693109204537836,0.10378624350443721,0.2544613919008552,0.7358358794552428,GOLDEN arm
p3_a1_d0_s0_D0_coil_seed42_e14,27189,27,0.5890566474740039,0.6627132453028685,0.07365659782886458,0.5558799142659743,0.7067098642175987,FACTORIAL D0 (live)
gld_slope1.0_s42_e8,27189,27,0.583695695556361,0.6830593879101178,0.09936369235375675,0.8091509556038362,0.7287064148860819,GOLDEN arm
gld_slope1.0_s42_e13,27189,27,0.5810235511216282,0.6859725779611106,0.10494902683948237,0.8566713333154313,0.7300634156266326,GOLDEN arm
gld_w7edge_s42_e14,27189,27,0.5807903937489727,0.6907236156953025,0.10993322194632982,0.37114704559449935,0.7306643293581109,GOLDEN arm
p3_a1_d1_s1_D0_coil_seed42_e13,27189,27,0.5802932529090978,0.6547948739095986,0.07450162100050073,0.7316072569045892,0.7017986144221106,FACTORIAL D0 (live)
p3_a0_d1_s1_D0_coil_seed42_e5,27189,27,0.5763209945001007,0.6706874383749807,0.09436644387488002,0.4387192293055843,0.7248648466229519,FACTORIAL D0 (live)
gld_slope1.0_s42_e14,27189,27,0.5760294845680396,0.6849229815166473,0.10889349694860773,0.8400687831014392,0.7301767598855178,GOLDEN arm
sigma_seed4_e14,27189,27,0.575927910641042,0.6913152583516396,0.11538734771059767,0.3601970767492808,0.7269252403897212,SIGMA seeds
gld_w7span4_s42_e12,27189,27,0.5756708558255652,0.6905931517950404,0.11492229596947523,0.36576101615761225,0.7295384581813426,GOLDEN arm
loroW_onehot_s42_e12,27189,27,0.5715801825678016,0.6790183542558642,0.10743817168806258,0.688690559587619,0.7225688903138902,other
gld_slope1.0_s42_e0,27189,27,0.5711957802460004,0.6416800307568904,0.07048425051089002,0.47643952292714425,0.6634949055500793,GOLDEN arm
gld_slope1.0_s42_e12,27189,27,0.5709984038025142,0.6802100622286231,0.10921165842610892,0.7863922496719037,0.7274006668269153,GOLDEN arm
p3_slope0.3_s42_e9,27189,27,0.5675665217187054,0.6783528559231279,0.11078633420442252,0.4868270149533288,0.729561929152117,other
calib_ctrl_repro2_e14,27189,27,0.5635005838119206,0.6877537979388979,0.12425321412697732,0.5211014217174904,0.7261507419266634,other
sigma_seed1_e13,27189,27,0.5607272651899433,0.6735111529319315,0.11278388774198822,0.46868161805727193,0.7176809756761371,SIGMA seeds
sigma_seed42_e9,27189,27,0.5591887503675008,0.6767267262383668,0.11753797587086601,0.5004252109353217,0.7261145809557676,SIGMA seeds
sigma_seed3_e13,27189,27,0.556448209420781,0.6905614456915062,0.13411323627072524,0.3687809175357764,0.7287797760473027,SIGMA seeds
anchor_w3.0_s42_e13,27189,27,0.5364182428886757,0.6211315357846167,0.08471329289594098,0.14308379190528295,0.6387158185200456,other
p3_slope3.0_s42_e8,27189,27,0.5361951657683409,0.6638116031126705,0.1276164373443296,0.33911521728053756,0.7132019234849112,other
p3_a0_d1_s1_D1_uemb_seed42_e6,27189,27,0.3172399824240125,0.3455504460754006,0.028310463651388063,0.018625819470896542,0.25833418766902877,FACTORIAL D1 (dead)
