run_tag	state	node_class	seed	epochs	best_epoch	pooled	pp	abs_wt_dg	std_b	slope_med	slope_min	designed_pooled	wall_h	notes
p3_a0_d0_s0_D1_uemb_seed42	done	?	42	15	?	0.1284	0.1573	?	0.0392	0.006	-0.026	0.0787	?	A=0 B=0 C=0 D=1
p3_a0_d0_s1_D1_uemb_seed42	done	?	42	15	?	0.0944	0.1059	?	0.0108	0.004	-0.011	0.0584	?	A=0 B=0 C=1 D=1
p3_a0_d1_s0_D1_uemb_seed42	done	?	42	15	?	0.2257	0.2110	?	0.0326	0.019	-0.006	0.0757	?	A=0 B=1 C=0 D=1
p3_a0_d1_s1_D0_coil_seed42	done	?	42	15	?	0.6062	0.7286	?	0.1956	0.373	0.146	0.5241	?	A=0 B=1 C=1 D=0
p3_a0_d1_s1_D1_uemb_seed42	done	?	42	15	?	0.3121	0.2604	?	0.0098	0.011	-0.012	0.0231	?	A=0 B=1 C=1 D=1
p3_a1_d0_s0_D0_coil_seed42	done	?	42	15	?	0.5982	0.7110	?	0.2349	0.549	0.114	0.4581	?	A=1 B=0 C=0 D=0
p3_a1_d0_s1_D0_coil_seed42	done	?	42	15	?	0.6098	0.7112	?	0.2378	0.583	0.168	0.4775	?	A=1 B=0 C=1 D=0
p3_a1_d1_s0_D0_coil_seed42	done	?	42	15	?	0.6175	0.6980	?	0.1890	0.512	0.090	0.4312	?	A=1 B=1 C=0 D=0
p3_a1_d1_s1_D0_coil_seed42	done	?	42	15	?	0.5827	0.7060	?	0.2696	0.710	0.196	0.4785	?	A=1 B=1 C=1 D=0
p3_a1_d1_s0_D1_uemb_seed42	done	?	42	15	?	-0.0782	0.1503	?	0.0556	0.012	-0.090	0.1828	?	A=1 B=1 C=0 D=1
p3_a0_d0_s0_D0_coil_seed1	done	?	1	15	?	0.6131	0.7383	?	0.1649	0.391	0.077	0.4907	?	A=0 B=0 C=0 D=0
p3_a1_d0_s0_D1_uemb_seed42	done	?	42	15	?	0.0807	0.1729	?	0.0568	0.022	-0.034	0.0566	?	A=1 B=0 C=0 D=1
p3_a1_d0_s1_D1_uemb_seed42	done	?	42	15	?	0.0507	0.1213	?	0.0236	0.005	-0.040	0.1011	?	A=1 B=0 C=1 D=1
p3_a1_d1_s1_D1_uemb_seed42	done	?	42	15	?	0.1338	0.1893	?	0.0274	0.016	-0.024	0.1040	?	A=1 B=1 C=1 D=1
