file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w0.3_s42_e14,1GYZ,1125,0.05,top,56,2,0.03571428571428571,0.049777777777777775,0.7174744897959183
abl_anchor_w0.3_s42_e14,1GYZ,1125,0.05,bot,56,30,0.5357142857142857,0.049777777777777775,10.762117346938776
abl_anchor_w0.3_s42_e14,1GYZ,1125,0.1,top,112,25,0.22321428571428573,0.09955555555555555,2.2421077806122454
abl_anchor_w0.3_s42_e14,1GYZ,1125,0.1,bot,112,64,0.5714285714285714,0.09955555555555555,5.739795918367347
abl_anchor_w0.3_s42_e14,1GYZ,1125,0.15,top,168,44,0.2619047619047619,0.14933333333333335,1.753826530612245
abl_anchor_w0.3_s42_e14,1GYZ,1125,0.15,bot,168,104,0.6190476190476191,0.14933333333333335,4.145408163265306
abl_anchor_w0.3_s42_e14,1PSE,1217,0.05,top,60,10,0.16666666666666666,0.049301561216105176,3.3805555555555555
abl_anchor_w0.3_s42_e14,1PSE,1217,0.05,bot,60,27,0.45,0.049301561216105176,9.1275
abl_anchor_w0.3_s42_e14,1PSE,1217,0.1,top,121,30,0.24793388429752067,0.09942481511914544,2.493682125537873
abl_anchor_w0.3_s42_e14,1PSE,1217,0.1,bot,121,73,0.6033057851239669,0.09942481511914544,6.067959838808824
abl_anchor_w0.3_s42_e14,1PSE,1217,0.15,top,182,52,0.2857142857142857,0.1495480690221857,1.9105180533751962
abl_anchor_w0.3_s42_e14,1PSE,1217,0.15,bot,182,119,0.6538461538461539,0.1495480690221857,4.372147083685546
abl_anchor_w0.3_s42_e14,1QKH,1271,0.05,top,63,6,0.09523809523809523,0.04956726986624705,1.9213907785336355
abl_anchor_w0.3_s42_e14,1QKH,1271,0.05,bot,63,23,0.36507936507936506,0.04956726986624705,7.365331317712269
abl_anchor_w0.3_s42_e14,1QKH,1271,0.1,top,127,27,0.2125984251968504,0.0999213217938631,2.127658255316511
abl_anchor_w0.3_s42_e14,1QKH,1271,0.1,bot,127,60,0.47244094488188976,0.0999213217938631,4.7281294562589125
abl_anchor_w0.3_s42_e14,1QKH,1271,0.15,top,190,60,0.3157894736842105,0.14948859166011014,2.1124653739612187
abl_anchor_w0.3_s42_e14,1QKH,1271,0.15,bot,190,92,0.4842105263157895,0.14948859166011014,3.2391135734072027
abl_anchor_w0.3_s42_e14,1QP2,1082,0.05,top,54,11,0.2037037037037037,0.04990757855822551,4.081618655692729
abl_anchor_w0.3_s42_e14,1QP2,1082,0.05,bot,54,23,0.42592592592592593,0.04990757855822551,8.534293552812072
abl_anchor_w0.3_s42_e14,1QP2,1082,0.1,top,108,36,0.3333333333333333,0.09981515711645102,3.339506172839506
abl_anchor_w0.3_s42_e14,1QP2,1082,0.1,bot,108,50,0.46296296296296297,0.09981515711645102,4.638203017832647
abl_anchor_w0.3_s42_e14,1QP2,1082,0.15,top,162,66,0.4074074074074074,0.14972273567467653,2.721079103795153
abl_anchor_w0.3_s42_e14,1QP2,1082,0.15,bot,162,90,0.5555555555555556,0.14972273567467653,3.7105624142661178
abl_anchor_w0.3_s42_e14,1TUC,1043,0.05,top,52,14,0.2692307692307692,0.04985618408437201,5.400147928994082
abl_anchor_w0.3_s42_e14,1TUC,1043,0.05,bot,52,30,0.5769230769230769,0.04985618408437201,11.571745562130175
abl_anchor_w0.3_s42_e14,1TUC,1043,0.1,top,104,38,0.36538461538461536,0.09971236816874401,3.6643860946745557
abl_anchor_w0.3_s42_e14,1TUC,1043,0.1,bot,104,62,0.5961538461538461,0.09971236816874401,5.978735207100591
abl_anchor_w0.3_s42_e14,1TUC,1043,0.15,top,156,66,0.4230769230769231,0.14956855225311602,2.8286489151873764
abl_anchor_w0.3_s42_e14,1TUC,1043,0.15,bot,156,103,0.6602564102564102,0.14956855225311602,4.4144066403681785
abl_anchor_w0.3_s42_e14,1W4H,801,0.05,top,40,14,0.35,0.049937578027465665,7.00875
abl_anchor_w0.3_s42_e14,1W4H,801,0.05,bot,40,27,0.675,0.049937578027465665,13.516875000000002
abl_anchor_w0.3_s42_e14,1W4H,801,0.1,top,80,28,0.35,0.09987515605493133,3.504375
abl_anchor_w0.3_s42_e14,1W4H,801,0.1,bot,80,54,0.675,0.09987515605493133,6.758437500000001
abl_anchor_w0.3_s42_e14,1W4H,801,0.15,top,120,46,0.38333333333333336,0.149812734082397,2.5587500000000003
abl_anchor_w0.3_s42_e14,1W4H,801,0.15,bot,120,88,0.7333333333333333,0.149812734082397,4.895
abl_anchor_w0.3_s42_e14,2BTH,800,0.05,top,40,12,0.3,0.05,5.999999999999999
abl_anchor_w0.3_s42_e14,2BTH,800,0.05,bot,40,22,0.55,0.05,11.0
abl_anchor_w0.3_s42_e14,2BTH,800,0.1,top,80,18,0.225,0.1,2.25
abl_anchor_w0.3_s42_e14,2BTH,800,0.1,bot,80,46,0.575,0.1,5.749999999999999
abl_anchor_w0.3_s42_e14,2BTH,800,0.15,top,120,35,0.2916666666666667,0.15,1.9444444444444446
abl_anchor_w0.3_s42_e14,2BTH,800,0.15,bot,120,85,0.7083333333333334,0.15,4.722222222222222
abl_anchor_w0.3_s42_e14,2K1B,933,0.05,top,46,21,0.45652173913043476,0.04930332261521972,9.25945179584121
