file,subset,N,PCC_pooled,PCC_dG_pooled,E5_top_ddG,E5_max,E5_top_hits,E5_bot_ddG,E5_bot_hits,E5_top_dG,E5_bot_dG,E15_top_ddG,E15_max,E15_top_hits,E15_bot_ddG,E15_bot_hits,E15_top_dG,E15_bot_dG
abl_anchor_w0.3_s42_e14,all,28314,0.6157315616856842,0.3923154040932763,10.28070171933724,20.009893992932863,727,6.7878085629736935,480,8.442336900198532,5.175704029267441,2.9653001780949384,6.666823640216624,1889,3.62774415647295,2311,2.5398918412692484,2.3295423315473207
abl_anchor_w0.3_s42_e14,nonWT,28286,0.6156184549876635,0.3925703972522642,10.270919817784971,20.004243281471005,726,6.776543516141874,479,8.44592166834384,5.163754453845061,2.967783381692382,6.668081093823668,1888,3.6295613497498462,2309,2.5433652074037467,2.331156120259429
abl_anchor_w1.0_s42_e14,all,28314,0.6018048249043955,0.3626460298649376,10.690798486683567,20.009893992932863,756,6.53326574186218,462,8.810009864026274,5.4726706538975405,2.9464629085676015,6.666823640216624,1877,3.535127581296877,2252,2.8098927044944095,2.2400653012924705
abl_anchor_w1.0_s42_e14,nonWT,28286,0.6016896215531865,0.36284977656518447,10.66704344712103,20.004243281471005,754,6.536039884044982,462,8.813750752727323,5.474994448323393,2.945776513395934,6.668081093823668,1874,3.5321023615798635,2247,2.8121633844532155,2.2399848087455743
abl_anchor_w3.0_s42_e13,all,28314,0.5972146037663137,0.28530610769611425,10.945341307795081,20.009893992932863,774,5.981756296120567,423,5.006008815193099,1.2444315698785104,2.9496024534888243,6.666823640216624,1879,3.103440154628742,1977,2.1348905464315067,1.280934327858904
abl_anchor_w3.0_s42_e13,nonWT,28286,0.5970936888876277,0.2855146275531943,10.949988896646786,20.004243281471005,774,5.970148984993468,422,5.0081344566058945,1.2449599779133298,2.947348432559966,6.668081093823668,1875,3.1061122681271964,1976,2.1378100630834953,1.2795421995220333
abl_calib_ctrl_repro2_e14,all,28314,0.5909905932464826,0.4496468136727346,8.880716203223916,20.009893992932863,628,7.579719561987291,536,3.3939042814868468,4.525205708649129,2.7675088480579015,6.666823640216624,1763,3.6842559650549602,2347,2.894660417367425,2.5179150268206887
abl_calib_ctrl_repro2_e14,nonWT,28286,0.5908892148273087,0.44984450382957186,8.870339842632475,20.004243281471005,627,7.582938047290281,536,3.395345394309081,4.527127192412109,2.766577728696288,6.668081093823668,1760,3.6845785204909656,2344,2.8970470193109428,2.519786419943267
abl_p3_slope3.0_s42_e8,all,28314,0.5623953377856027,0.3395942919617404,8.17365281124749,20.009893992932863,578,6.999927580566621,495,5.218127832786027,2.601993282473249,2.6843109076454974,6.666823640216624,1710,3.5272787189938204,2247,2.926055866579653,2.4614032182386785
abl_p3_slope3.0_s42_e8,nonWT,28286,0.5622998095367833,0.33982925370058115,8.17712349129437,20.004243281471005,578,6.988752603286192,494,5.220343543750213,2.5889508631606746,2.686409851330657,6.668081093823668,1709,3.5273866040877673,2244,2.9284854025915825,2.461625410874084
abl_sigma_seed1_e13,all,28314,0.5948224981250515,0.4152413091332932,8.866574935384387,20.009893992932863,627,6.53326574186218,462,6.7878085629736935,4.680759654883943,2.732973853924451,6.666823640216624,1741,3.7046630070429085,2360,2.8601254232339746,2.2432048462136933
abl_sigma_seed1_e13,nonWT,28286,0.5947226352502831,0.4154733972507732,8.856192570156187,20.004243281471005,626,6.507745339092406,460,6.790690788618162,4.668599917174987,2.7351393454156487,6.668081093823668,1740,3.7050134696233816,2357,2.862464797702239,2.2431286470736382
abl_sigma_seed2_e10,all,28314,0.6575170866716454,0.47863603431122803,11.072612718350838,20.009893992932863,783,7.551437026308234,534,6.844373634331808,5.020150083032627,2.924486094119042,6.666823640216624,1863,3.79570980975837,2418,2.822450884179301,2.459833445778067
abl_sigma_seed2_e10,nonWT,28286,0.6574163703253001,0.4788314183964109,11.06316707645709,20.004243281471005,782,7.540496229861418,533,6.847279878523314,5.0081344566058945,2.9221977259354546,6.668081093823668,1859,3.7946128619732042,2414,2.8247387377654714,2.4600534917100516
abl_sigma_seed3_e13,all,28314,0.5798580021183991,0.4334702029046805,7.622143365505877,20.009893992932863,539,7.311035473036249,517,3.507034424203075,4.7514659940815855,2.76593907559729,6.666823640216624,1762,3.687395509976183,2349,2.9496024534888243,2.307565517098761
abl_sigma_seed3_e13,nonWT,28286,0.579756498971876,0.4336929440713431,7.611232592242857,20.004243281471005,538,7.299992597764525,516,3.508523574119384,4.753483552032714,2.766577728696288,6.668081093823668,1760,3.6877223588190295,2346,2.952064190052062,2.3091492519629813
