protein,deltaG,pred_deltaG,ddG,pred_ddG
2LQK,1.7221117,-4.4395866,0.0,0.0
2LQK,1.5462627,-4.4395866,-0.17584896,0.0
2LQK,1.65041,-4.4395866,-0.071701646,0.0
2LQK,1.5136672,-4.4395866,-0.20844448,0.0
2LQK,1.5996228,-4.4395866,-0.12248886,0.0
2LQK,1.9428787,-4.3159933,0.22076702,0.12359333
2LQK,2.1122475,-4.2966375,0.39013577,0.1429491
2LQK,1.8798808,-4.4768906,0.15776908,-0.037303925
2LQK,2.1111248,-4.1615753,0.38901305,0.27801132
2LQK,1.8678806,-4.3332176,0.14576888,0.10636902
2LQK,1.7425379,-4.1821136,0.020426154,0.257473
2LQK,2.1325786,-4.2632446,0.4104669,0.17634201
2LQK,1.8778311,-4.2327323,0.1557194,0.20685434
2LQK,1.9500706,-4.167331,0.22795892,0.27225542
2LQK,1.7989852,-4.362602,0.07687354,0.076984406
2LQK,2.1322234,-4.7709312,0.41011167,-0.3313446
2LQK,2.1625564,-4.154544,0.4404447,0.28504276
2LQK,2.0419755,-4.3393183,0.3198638,0.100268364
2LQK,1.9894768,-4.4111176,0.2673651,0.028469086
2LQK,2.2579474,-3.9623966,0.53583574,0.47719002
2LQK,2.6004624,-3.9115183,0.87835073,0.5280683
2LQK,2.2928898,-4.167635,0.57077813,0.27195168
2LQK,1.973912,-4.1609197,0.2518003,0.27866697
2LQK,1.6019602,-4.6455536,-0.12015152,-0.20596695
2LQK,1.4512068,-4.773871,-0.2709049,-0.3342843
2LQK,1.5514804,-4.4973116,-0.17063129,-0.057724953
2LQK,1.4993241,-4.6287413,-0.22278762,-0.18915462
2LQK,1.6239282,-4.5846987,-0.09818351,-0.14511204
2LQK,1.566719,-4.611286,-0.15539265,-0.17169952
2LQK,1.6108449,-4.6520524,-0.11126685,-0.21246576
2LQK,1.7524313,-4.6893234,0.030319571,-0.24973679
2LQK,1.7396688,-4.4143853,0.017557144,0.02520132
2LQK,1.551559,-4.8651123,-0.17055273,-0.42552567
2LQK,1.8239259,-4.40737,0.10181415,0.03221655
2LQK,1.881137,-4.2715387,0.15902531,0.1680479
2LQK,1.7423881,-4.29978,0.020276427,0.13980675
2LQK,1.754659,-4.3706703,0.032547355,0.06891632
2LQK,1.7130839,-4.180322,-0.009027839,0.25926447
2LQK,1.8651494,-4.3645287,0.14303768,0.07505798
2LQK,1.8326617,-4.340179,0.110550046,0.09940767
2LQK,1.4839178,-4.2938223,-0.23819387,0.14576435
2LQK,1.964874,-4.1089344,0.24276233,0.33065224
2LQK,0.8583154,-5.60387,-0.8637963,-1.1642833
2LQK,0.29985747,-4.8958435,-1.4222542,-0.45625687
2LQK,0.73987025,-4.3768625,-0.98224145,0.06272411
2LQK,-0.55035394,-5.106199,-2.2724657,-0.66661215
2LQK,0.6283605,-4.8415055,-1.0937512,-0.4019189
2LQK,1.4452264,-4.7017484,-0.27688527,-0.26216173
2LQK,1.0144533,-4.590085,-0.7076584,-0.15049839
2LQK,-0.6070549,-5.2136025,-2.3291667,-0.7740159
2LQK,1.6105809,-4.670937,-0.11153078,-0.23135042
2LQK,1.3090607,-4.666289,-0.413051,-0.22670221
2LQK,1.4940397,-4.9616013,-0.22807205,-0.5220146
2LQK,1.5617597,-4.6664166,-0.16035199,-0.22683
2LQK,0.3949838,-5.1985703,-1.3271279,-0.7589836
2LQK,1.6840601,-4.6393223,-0.038051605,-0.19973564
2LQK,1.1528156,-4.8021936,-0.5692961,-0.362607
2LQK,1.5419909,-4.723824,-0.18012083,-0.28423738
