protein,deltaG,pred_deltaG,ddG,pred_ddG
HEEH_KT_rd6_0793,2.9966383,-1.9002962,0.0,0.0
HEEH_KT_rd6_0793,2.5684745,-1.9002962,-0.42816377,0.0
HEEH_KT_rd6_0793,2.6466846,-1.9002962,-0.34995365,0.0
HEEH_KT_rd6_0793,2.6405115,-1.9002962,-0.3561268,0.0
HEEH_KT_rd6_0793,2.8579113,-1.9002962,-0.13872695,0.0
HEEH_KT_rd6_0793,1.4927957,-1.9384537,-1.5038426,-0.038157463
HEEH_KT_rd6_0793,1.4500176,-1.9806647,-1.5466207,-0.08036852
HEEH_KT_rd6_0793,1.9154068,-1.9306087,-1.0812315,-0.030312538
HEEH_KT_rd6_0793,1.7843658,-1.9222226,-1.2122725,-0.021926403
HEEH_KT_rd6_0793,1.7602748,-1.9642472,-1.2363635,-0.063951015
HEEH_KT_rd6_0793,2.286958,-1.9393561,-0.7096803,-0.039059877
HEEH_KT_rd6_0793,1.3103386,-1.9326982,-1.6862997,-0.03240204
HEEH_KT_rd6_0793,2.2649875,-1.9201913,-0.7316508,-0.019895077
HEEH_KT_rd6_0793,2.234653,-1.8743668,-0.7619853,0.025929451
HEEH_KT_rd6_0793,2.1246052,-1.882184,-0.8720331,0.018112183
HEEH_KT_rd6_0793,2.2463121,-1.9939513,-0.75032616,-0.09365511
HEEH_KT_rd6_0793,2.037397,-1.8727283,-0.9592414,0.027567863
HEEH_KT_rd6_0793,2.047406,-1.9034004,-0.94923234,-0.00310421
HEEH_KT_rd6_0793,2.1656704,-1.9023361,-0.8309679,-0.0020399094
HEEH_KT_rd6_0793,2.1907558,-1.8555357,-0.80588245,0.044760466
HEEH_KT_rd6_0793,1.8379282,-1.914058,-1.1587101,-0.013761759
HEEH_KT_rd6_0793,1.776912,-1.8855348,-1.2197263,0.014761448
HEEH_KT_rd6_0793,2.0837374,-1.9242096,-0.9129009,-0.023913383
HEEH_KT_rd6_0793,2.8428054,-1.766469,-0.15383291,0.13382721
HEEH_KT_rd6_0793,1.9865104,-1.8403835,-1.0101279,0.05991268
HEEH_KT_rd6_0793,1.6754669,-1.8341417,-1.3211714,0.06615448
HEEH_KT_rd6_0793,1.9592503,-1.8133655,-1.037388,0.08693075
HEEH_KT_rd6_0793,1.7482896,-1.8691726,-1.2483487,0.031123638
HEEH_KT_rd6_0793,2.2065003,-1.8288074,-0.790138,0.07148886
HEEH_KT_rd6_0793,1.8975401,-1.8511388,-1.0990982,0.04915738
HEEH_KT_rd6_0793,1.6889403,-1.8507586,-1.307698,0.04953766
HEEH_KT_rd6_0793,1.9810979,-1.8246207,-1.0155404,0.07567549
HEEH_KT_rd6_0793,2.3699572,-1.8552604,-0.6266811,0.04503584
HEEH_KT_rd6_0793,1.7471813,-1.7861476,-1.249457,0.11414862
HEEH_KT_rd6_0793,2.0529883,-1.8335514,-0.94365,0.066744804
HEEH_KT_rd6_0793,2.2272189,-1.8101947,-0.76941943,0.09010148
HEEH_KT_rd6_0793,1.9326636,-1.8301978,-1.0639747,0.0700984
HEEH_KT_rd6_0793,1.989494,-1.8094845,-1.0071443,0.09081173
HEEH_KT_rd6_0793,2.1411405,-1.806138,-0.85549784,0.09415817
HEEH_KT_rd6_0793,2.0498173,-1.8543324,-0.946821,0.045963764
HEEH_KT_rd6_0793,1.8651896,-1.8048387,-1.1314487,0.095457554
HEEH_KT_rd6_0793,1.5564401,-1.8822446,-1.4401982,0.018051624
HEEH_KT_rd6_0793,1.6619129,-1.8441496,-1.3347254,0.05614662
HEEH_KT_rd6_0793,1.6994445,-1.8489814,-1.2971938,0.05131483
HEEH_KT_rd6_0793,1.4587024,-1.8217936,-1.5379359,0.078502655
HEEH_KT_rd6_0793,1.9253696,-1.9089398,-1.0712687,-0.008643627
HEEH_KT_rd6_0793,1.4219761,-1.8313856,-1.5746622,0.0689106
HEEH_KT_rd6_0793,1.2435191,-1.8459029,-1.7531192,0.05439329
HEEH_KT_rd6_0793,1.9199605,-1.8374567,-1.0766778,0.06283951
HEEH_KT_rd6_0793,1.5879505,-1.843616,-1.4086878,0.056680202
HEEH_KT_rd6_0793,1.8394479,-1.832336,-1.1571904,0.06796026
HEEH_KT_rd6_0793,1.3003722,-1.8497224,-1.696266,0.050573826
HEEH_KT_rd6_0793,1.7826593,-1.8813248,-1.213979,0.018971443
HEEH_KT_rd6_0793,1.8810782,-1.8710594,-1.11556,0.029236794
HEEH_KT_rd6_0793,1.6088016,-1.8770993,-1.3878367,0.023196936
HEEH_KT_rd6_0793,1.7447448,-1.9001882,-1.2518935,0.000108003616
HEEH_KT_rd6_0793,1.6942301,-1.8892379,-1.3024082,0.011058331
HEEH_KT_rd6_0793,1.4047409,-1.8527703,-1.5918974,0.047525883
HEEH_KT_rd6_0793,1.3315678,-1.8549514,-1.6650705,0.04534483
HEEH_KT_rd6_0793,0.4012395,-1.8316984,-2.595399,0.06859779
HEEH_KT_rd6_0793,2.7278962,-1.6917038,-0.26874208,0.20859241
HEEH_KT_rd6_0793,-0.2932669,-1.9159636,-3.289905,-0.015667439
HEEH_KT_rd6_0793,-0.4731658,-1.9315419,-3.469804,-0.031245708
HEEH_KT_rd6_0793,-0.8199669,-1.9321747,-3.816605,-0.03187847
HEEH_KT_rd6_0793,-0.57284915,-1.9225421,-3.5694876,-0.022245884
HEEH_KT_rd6_0793,-0.21385641,-1.9116564,-3.2104948,-0.011360168
HEEH_KT_rd6_0793,-0.79897934,-1.9324775,-3.7956176,-0.032181263
HEEH_KT_rd6_0793,-0.72823334,-1.942667,-3.7248716,-0.042370796
HEEH_KT_rd6_0793,-0.7221212,-1.9009495,-3.7187595,-0.0006532669
HEEH_KT_rd6_0793,-0.009878635,-1.9253716,-3.006517,-0.025075436
HEEH_KT_rd6_0793,-0.090332486,-1.8920131,-3.0869708,0.008283138
HEEH_KT_rd6_0793,0.20631047,-1.866641,-2.7903278,0.033655167
HEEH_KT_rd6_0793,-0.5931783,-1.870707,-3.5898166,0.029589176
HEEH_KT_rd6_0793,1.4660867,-1.9081268,-1.5305516,-0.00783062
HEEH_KT_rd6_0793,0.44110554,-1.8926225,-2.5555327,0.0076737404
HEEH_KT_rd6_0793,0.8588444,-1.9597793,-2.137794,-0.05948305
HEEH_KT_rd6_0793,0.63559633,-2.013701,-2.361042,-0.11340475
HEEH_KT_rd6_0793,1.0207269,-1.9557443,-1.9759114,-0.055448055
HEEH_KT_rd6_0793,0.9154168,-1.9287195,-2.0812216,-0.02842331
