protein,true,length,E_f_C0,E_u_C0,dG_pred_C0,wt_err_C0,E_f_C1,E_u_C1,dG_pred_C1,wt_err_C1,E_f_C2,E_u_C2,dG_pred_C2,wt_err_C2,E_f_C3,E_u_C3,dG_pred_C3,wt_err_C3
1GYZ,4.07466983795166,59.0,1.1143672466278076,-1.1862430572509766,-2.300610303878784,-6.375280141830444,1.1143672466278076,0.6094058156013489,-0.5049614310264587,-4.579631268978119,1.1143672466278076,0.015019197016954422,-1.0993480496108532,-5.174017887562513,1.1143672466278076,1.4114230871200562,0.29705584049224854,-3.7776139974594116
1PSE,1.711096167564392,68.0,1.1673259735107422,-1.9536781311035156,-3.121004104614258,-4.83210027217865,1.1673259735107422,1.0733468532562256,-0.0939791202545166,-1.8050752878189087,1.1673259735107422,-0.7561919093132019,-1.923517882823944,-3.634614050388336,1.1673259735107422,1.7670440673828125,0.5997180938720703,-1.1113780736923218
1QKH,3.9560558795928955,67.0,1.580596685409546,-0.816746175289154,-2.3973428606987,-6.3533987402915955,1.580596685409546,0.5513147115707397,-1.0292819738388062,-4.985337853431702,1.580596685409546,0.024054501205682755,-1.5565421842038631,-5.512598063796759,1.580596685409546,1.8397115468978882,0.2591148614883423,-3.6969410181045532
1QP2,2.280799150466919,63.0,0.7356343865394592,-1.8434590101242065,-2.5790933966636658,-4.859892547130585,0.7356343865394592,1.0174161195755005,0.28178173303604126,-1.9990174174308777,0.7356343865394592,-0.6125235557556152,-1.3481579422950745,-3.6289570927619934,0.7356343865394592,1.6660186052322388,0.9303842186927795,-1.3504149317741394
1TUC,2.9920055866241455,59.0,1.7930426597595215,-0.3879137635231018,-2.1809564232826233,-5.172962009906769,1.7930426597595215,0.9991461038589478,-0.7938965559005737,-3.7859021425247192,1.7930426597595215,0.08709079027175903,-1.7059518694877625,-4.697957456111908,1.7930426597595215,1.548508644104004,-0.24453401565551758,-3.236539602279663
1W4H,2.9449589252471924,44.0,1.177773118019104,-0.5107183456420898,-1.6884914636611938,-4.633450388908386,1.177773118019104,0.4911632239818573,-0.6866098940372467,-3.631568819284439,1.177773118019104,0.6882281303405762,-0.48954498767852783,-3.43450391292572,1.177773118019104,1.1285537481307983,-0.049219369888305664,-2.994178295135498
2BTH,2.996319055557251,43.0,0.14598646759986877,-2.5818498134613037,-2.7278362810611725,-5.7241553366184235,0.14598646759986877,-0.6100000143051147,-0.7559864819049835,-3.7523055374622345,0.14598646759986877,-0.8871297836303711,-1.0331162512302399,-4.029435306787491,0.14598646759986877,1.1868839263916016,1.0408974587917328,-1.9554215967655182
2K1B,2.4124879837036133,49.0,1.2459018230438232,-0.7076452374458313,-1.9535470604896545,-4.366035044193268,1.2459018230438232,0.6884394884109497,-0.5574623346328735,-2.969950318336487,1.2459018230438232,0.5943117737770081,-0.6515900492668152,-3.0640780329704285,1.2459018230438232,1.2517937421798706,0.005891919136047363,-2.406596064567566
2K28,2.7705941200256348,50.0,1.3155348300933838,-0.9454389810562134,-2.260973811149597,-5.031567931175232,1.3155348300933838,0.8247912526130676,-0.49074357748031616,-3.261337697505951,1.3155348300933838,0.4039112627506256,-0.9116235673427582,-3.682217687368393,1.3155348300933838,1.2554749250411987,-0.06005990505218506,-2.83065402507782
2K5H,1.7230859994888306,62.0,1.5103703737258911,0.1184082180261612,-1.39196215569973,-3.1150481551885605,1.5103703737258911,1.0691457986831665,-0.4412245750427246,-2.164310574531555,1.5103703737258911,0.3894087076187134,-1.1209616661071777,-2.8440476655960083,1.5103703737258911,1.5455373525619507,0.03516697883605957,-1.687919020652771
