feature,target,mean_r,sign,min_r,max_r
plddt_mean,a_p,-0.3825087298130497,11,-0.5336310315401241,-0.0968951143512527
plddt_mean,b_p,-0.1371812634878653,9,-0.25917526182539286,0.03902909224590069
plddt_mean,abs_b_p,0.20360985187561367,10,-0.020412207165683788,0.35890394053505903
plddt_mean,ddg_pcc,-0.45430288317955475,11,-0.5408217787927957,-0.11468256082276357
plddt_min,a_p,-0.1771293626332548,9,-0.30734802953815576,0.029977091654211932
plddt_min,b_p,0.05794811072978687,10,-0.045310740252755,0.15741985985726695
plddt_min,abs_b_p,0.1251402318789915,10,-0.05859698378602089,0.244276579003181
plddt_min,ddg_pcc,-0.2994913170584103,10,-0.4117708328416225,0.013633520189208924
plddt_p10,a_p,-0.39441048538736007,11,-0.567145840565681,-0.002800925677302081
plddt_p10,b_p,-0.15413458420822138,9,-0.2532593864916961,0.07188312430621019
plddt_p10,abs_b_p,0.2166764238582469,11,0.05464727745333483,0.39104663331590883
plddt_p10,ddg_pcc,-0.43874878931621386,11,-0.5279665604479307,-0.01625542206710088
plddt_std,a_p,0.1751618992669642,9,-0.09576207503742895,0.31704899587112284
plddt_std,b_p,0.018579219052599485,7,-0.10478079070724373,0.11895967399674326
plddt_std,abs_b_p,-0.15008711429617508,10,-0.2842605382836096,0.005613525069362095
plddt_std,ddg_pcc,0.3280560920663985,10,-0.0763724465005297,0.42729123155830495
plddt_frac_lt70,a_p,0.34378081937070754,11,0.05485177890200021,0.5220250481104147
plddt_frac_lt70,b_p,0.018248420018023036,7,-0.17070609121883698,0.1639590515752012
plddt_frac_lt70,abs_b_p,-0.16477762697989037,9,-0.2892798078555776,0.07646150139172694
plddt_frac_lt70,ddg_pcc,0.3336663570912859,11,0.037293629028086375,0.4259977203605849
plddt_frac_lt90,a_p,0.36577475944171844,11,0.07898476508775325,0.5099991585318663
plddt_frac_lt90,b_p,0.15849489977948036,10,-0.0008599823650010082,0.3207951679275458
plddt_frac_lt90,abs_b_p,-0.23960230399771512,10,-0.4130720398975717,0.0702199498738448
plddt_frac_lt90,ddg_pcc,0.4605882963651021,11,0.11017971084481268,0.5373069272783831
plddt_n,a_p,-0.5384614614396901,11,-0.6340493114699131,-0.364171601174258
plddt_n,b_p,-0.25556271770176625,11,-0.43362768255058587,-0.054427156783722314
plddt_n,abs_b_p,0.27483941063427264,10,-0.0006798690318188666,0.450056512409758
plddt_n,ddg_pcc,-0.4879243070060449,11,-0.5984854272399331,-0.3000267567417362
