feature,target,r_all,sign_all,r_natural21,sign_nat,r_partial_nres,loo_worst,loo_min,loo_max
n_res,a_p,-0.21485132544776206,10,-0.5878963388150373,10,,-0.12212143731073892,-0.32739974730510374,-0.12212143731073892
n_res,b_p,-0.13705718732351768,7,-0.2489933033602972,10,,-0.030848566621510275,-0.20821832782807306,-0.030848566621510275
n_res,abs_b_p,0.25960036447352786,9,0.3385978736735041,10,,0.17182486911179076,0.17182486911179076,0.34062230491739165
n_res,ddg_pcc,-0.2793950036691701,10,-0.5055883109941075,10,,-0.19072589756472907,-0.4698016683251535,-0.19072589756472907
bfac_mean,a_p,0.326825880914979,10,-0.4071886981558954,10,0.5968350083230598,0.21006880328930913,0.21006880328930913,0.38258484914197954
bfac_mean,b_p,0.1350658846399332,9,-0.11481980362743402,8,0.2848551447220335,0.04740925784086182,0.04740925784086182,0.2196616075944197
bfac_mean,abs_b_p,0.05657784359333402,7,0.2466955972739897,9,-0.1355663847865757,-0.017816162269037723,-0.017816162269037723,0.13253502086029792
bfac_mean,ddg_pcc,0.1091121724840595,10,-0.4809395845574217,10,0.37111652836359293,-0.13740038037627256,-0.13740038037627256,0.22855077805335985
bfac_std,a_p,0.39783609637884665,10,0.25200755844503275,10,0.46178511008652395,0.3141885764708739,0.3141885764708739,0.4793256697932587
bfac_std,b_p,0.10396490515330077,10,0.13462537807448433,9,0.13702721649774402,0.018658687189221288,0.018658687189221288,0.16030748636845704
bfac_std,abs_b_p,-0.09403911975195504,10,-0.15159139641894653,9,-0.15563795173283218,-0.02948605949142722,-0.18124428987838803,-0.02948605949142722
bfac_std,ddg_pcc,0.3380656205562631,10,0.4562853556312615,10,0.4185443453289942,0.22764268204403434,0.22764268204403434,0.41975492635115985
Rg,a_p,0.1306512097753188,10,-0.2078239943997675,10,0.36163479602732884,0.047110371267880244,0.047110371267880244,0.25118138405313195
Rg,b_p,0.15185925147147394,10,-0.04901201097985244,6,0.32248099156947696,0.0777660672165704,0.0777660672165704,0.2074722489778848
