tag	epoch	canonical_epoch	val_pcc	val_lines	log	is_canonical	pooled	pp	a_p	n_proteins	n_mut
anchor_w0.3_s42	14			0	eval_anchor_w0.3_s42_21016096.out	False	0.6105	0.7271	0.5422	27	27189
anchor_w1.0_s42	14			0	eval_anchor_w1.0_s42_21016098.out	False	0.5942	0.702	0.5741	27	27189
anchor_w3.0_s42	13			0	eval_anchor_w3.0_s42_21016100.out	False	0.5364	0.6387	0.1474	27	27189
calib_ctrl_repro2	14			0	eval_calib_ctrl_repro2_21015272.out	False	0.5635	0.7262	0.496	27	27189
gld_dg_coil_s42	0			0	sc14_gld_dg_coil_s42_21109744.out	False	0.1758	0.3195	0.0262	27	27189
gld_dg_coil_s42	4			0	sc14_gld_dg_coil_s42_21109744.out	False	0.2163	0.2604	0.0492	27	27189
gld_dg_coil_s42	8			0	sc14_gld_dg_coil_s42_21109744.out	False	0.2002	0.2971	0.0833	27	27189
gld_dg_coil_s42	12			0	sc14_gld_dg_coil_s42_21109744.out	False	0.213	0.347	0.0908	27	27189
gld_dg_coil_s42	13			0	sc14_gld_dg_coil_s42_21109744.out	False	0.2482	0.3714	0.1029	27	27189
gld_dg_coil_s42	14			0	sc14_gld_dg_coil_s42_21109744.out	False	0.2212	0.3478	0.0911	27	27189
gld_slope1.0_s42	0			0	sc_gld_slope1.0_s42_e13_21109527.out	False	0.5712	0.6635	0.4796	27	27189
gld_slope1.0_s42	4			0	sc_gld_slope1.0_s42_e13_21109527.out	False	0.5899	0.7216	0.5748	27	27189
gld_slope1.0_s42	8			0	sc_gld_slope1.0_s42_e13_21109527.out	False	0.5837	0.7287	0.7039	27	27189
gld_slope1.0_s42	10			0	sc_gld_slope1.0_s42_e13_21109527.out	False	0.5798	0.725	0.721	27	27189
gld_slope1.0_s42	12			0	sc_gld_slope1.0_s42_e13_21109527.out	False	0.571	0.7274	0.6945	27	27189
gld_slope1.0_s42	13			0	sc_gld_slope1.0_s42_e13_21109527.out	False	0.581	0.7301	0.7397	27	27189
gld_slope1.0_s42	14			0	sc_gld_slope1.0_s42_e13_21109527.out	False	0.576	0.7302	0.7117	27	27189
gld_u10bidir_s42	14			0		False	0.5893	0.7358	0.2371	27	27189
gld_w5_dg_s42	14			0		False	0.5956	0.7299	0.6644	27	27189
