run_tag	state	node_class	seed	epochs	best_epoch	pooled	pp	abs_wt_dg	std_b	slope_med	slope_min	designed_pooled	wall_h	notes
p3_a0_d0_s0_D0_coil_seed1	done	?	1	15	?	0.6131	0.7383	?	0.1649	0.391	0.077	0.4907	?	A=0 B=0 C=0 D=0
p3_a0_d0_s0_D1_uemb_seed42	done	?	42	15	?	0.2472	0.1633	?	0.0325	0.006	-0.026	0.0535	?	A=0 B=0 C=0 D=1
p3_a0_d0_s1_D1_uemb_seed42	done	?	42	15	?	0.1001	0.1058	?	0.0110	0.004	-0.011	0.0168	?	A=0 B=0 C=1 D=1
p3_a0_d1_s0_D1_uemb_seed42	done	?	42	15	?	0.2179	0.2174	?	0.0417	0.018	-0.007	0.1198	?	A=0 B=1 C=0 D=1
p3_a0_d1_s1_D0_coil_seed42	done	?	42	15	?	0.6064	0.7285	?	0.1960	0.373	0.146	0.5273	?	A=0 B=1 C=1 D=0
p3_a0_d1_s1_D1_uemb_seed42	done	?	42	15	?	0.3121	0.2604	?	0.0098	0.011	-0.012	0.0231	?	A=0 B=1 C=1 D=1
p3_a1_d0_s0_D0_coil_seed42	done	?	42	15	?	0.5982	0.7110	?	0.2347	0.549	0.114	0.4583	?	A=1 B=0 C=0 D=0
p3_a1_d0_s0_D1_uemb_seed42	done	?	42	15	?	0.0807	0.1729	?	0.0568	0.022	-0.034	0.0566	?	A=1 B=0 C=0 D=1
p3_a1_d0_s1_D0_coil_seed42	done	?	42	15	?	0.6100	0.7112	?	0.2374	0.582	0.168	0.4782	?	A=1 B=0 C=1 D=0
p3_a1_d0_s1_D1_uemb_seed42	done	?	42	15	?	0.0507	0.1213	?	0.0236	0.005	-0.040	0.1011	?	A=1 B=0 C=1 D=1
p3_a1_d1_s0_D0_coil_seed42	done	?	42	15	?	0.6175	0.6980	?	0.1890	0.512	0.090	0.4312	?	A=1 B=1 C=0 D=0
p3_a1_d1_s0_D1_uemb_seed42	done	?	42	15	?	-0.0782	0.1503	?	0.0556	0.012	-0.090	0.1828	?	A=1 B=1 C=0 D=1
p3_a1_d1_s1_D0_coil_seed42	done	?	42	15	?	0.5827	0.7060	?	0.2696	0.710	0.196	0.4785	?	A=1 B=1 C=1 D=0
p3_a1_d1_s1_D1_uemb_seed42	done	?	42	15	?	0.1338	0.1893	?	0.0274	0.016	-0.024	0.1040	?	A=1 B=1 C=1 D=1
p3_a0_d0_s0_D0_coil_seed2	done	?	2	15	?	0.6401	0.7296	?	0.1837	0.456	0.075	0.4422	?	A=0 B=0 C=0 D=0
p3_a0_d0_s1_D0_coil_seed1	done	?	1	15	?	0.5712	0.7295	?	0.1822	0.328	0.062	0.5513	?	A=0 B=0 C=1 D=0
p3_a0_d0_s1_D0_coil_seed2	done	?	2	15	?	0.6239	0.7407	?	0.1605	0.388	0.145	0.4868	?	A=0 B=0 C=1 D=0
p3_a0_d1_s0_D0_coil_seed1	done	?	1	15	?	0.6558	0.7447	?	0.1569	0.383	0.128	0.4892	?	A=0 B=1 C=0 D=0
p3_a0_d1_s0_D0_coil_seed2	done	?	2	15	?	0.6274	0.7311	?	0.1606	0.407	0.104	0.4838	?	A=0 B=1 C=0 D=0
