tag	pooled	ppmean	ap	orc	k20	n
sigma_seed2_e10	0.6382	0.7379	0.4099	0.7534	0.7620	27189
p3_a0_d0_s0_D0_coil_seed2_e6	0.6261	0.7254	0.4484	0.7464	0.7538	27189
slope1.0_s2_e13	0.6242	0.7382	0.3359	0.7437	0.7581	27189
p3_slope1.0_s42_e13	0.6202	0.7445	0.5075	0.7468	0.7654	27189
w12_s1_e14	0.6191	0.7473	0.4106	0.7519	0.7631	27189
w12_s2_e12	0.6159	0.7485	0.3504	0.7400	0.7593	27189
p3_a0_d1_s0_D0_coil_seed1_e11	0.6155	0.7412	0.3791	0.7412	0.7552	27189
p3_a1_d1_s1_D0_coil_seed1_e14	0.6131	0.7054	0.4625	0.7203	0.7282	27189
anchor_w0.3_s42_e14	0.6105	0.7271	0.5422	0.7384	0.7491	27189
slope_anchor_s42_e14	0.6091	0.7205	0.5852	0.7289	0.7446	27189
p3_a0_d0_s1_D0_coil_seed2_e12	0.6080	0.7371	0.3712	0.7388	0.7549	27189
slope_w5_s42_e14	0.6076	0.7418	0.2281	0.6963	0.7276	27189
p3_a1_d1_s0_D0_coil_seed1_e14	0.6060	0.7026	0.3714	0.7119	0.7183	27189
w5_dg_s1_e14	0.6060	0.7338	0.5072	0.7304	0.7466	27189
p3_a1_d0_s1_D0_coil_seed1_e13	0.6047	0.7101	0.4198	0.7219	0.7340	27189
p3_a1_d0_s1_D0_coil_seed42_e12	0.6032	0.7066	0.5707	0.7186	0.7308	27189
p3_a1_d1_s1_D0_coil_seed2_e10	0.5992	0.6927	0.7355	0.7097	0.7234	27189
p3_a1_d1_s0_D0_coil_seed2_e14	0.5983	0.7031	0.4314	0.7206	0.7246	27189
p3_a0_d1_s1_D0_coil_seed1_e10	0.5978	0.7224	0.3040	0.7217	0.7395	27189
p3_a0_d1_s0_D0_coil_seed2_e7	0.5963	0.7274	0.4062	0.7353	0.7485	27189
gld_w5_dg_s42_e14	0.5956	0.7299	0.6644	0.7212	0.7414	27189
w5_dg_s2_e14	0.5948	0.7374	0.5433	0.7306	0.7533	27189
anchor_w1.0_s42_e14	0.5942	0.7020	0.5741	0.7112	0.7225	27189
p3_a1_d0_s0_D0_coil_seed2_e12	0.5940	0.7030	0.4656	0.7180	0.7240	27189
p3_a0_d1_s1_D0_coil_seed2_e7	0.5930	0.7210	0.4177	0.7305	0.7441	27189
p3_a0_d0_s0_D0_coil_seed1_e13	0.5923	0.7340	0.3823	0.7414	0.7543	27189
p3_a1_d1_s0_D0_coil_seed42_e13	0.5913	0.6935	0.5075	0.7181	0.7224	27189
gld_slope1.0_s42_e4	0.5899	0.7216	0.5748	0.7201	0.7479	27189
gld_u10bidir_s42_e14	0.5893	0.7358	0.2371	0.6925	0.7237	27189
p3_a1_d0_s0_D0_coil_seed42_e14	0.5891	0.7067	0.5248	0.7154	0.7266	27189
p3_a0_d0_s1_D0_coil_seed42_e13	0.5882	0.7271	0.2761	0.7207	0.7418	27189
p3_a0_d1_s0_D0_coil_seed42_e10	0.5881	0.7326	0.5070	0.7425	0.7551	27189
p3_a1_d0_s0_D0_coil_seed1_e11	0.5859	0.6950	0.3306	0.7011	0.7094	27189
slope1.0_s1_e9	0.5853	0.7244	0.3510	0.7271	0.7473	27189
gld_slope1.0_s42_e8	0.5837	0.7287	0.7039	0.7218	0.7523	27189
p3_a1_d1_s1_D0_coil_seed42_e13	0.5818	0.7019	0.7157	0.7006	0.7227	27189
gld_slope1.0_s42_e13	0.5810	0.7301	0.7397	0.7228	0.7532	27189
gld_w7edge_s42_e14	0.5808	0.7307	0.3271	0.7294	0.7465	27189
gld_slope1.0_s42_e10	0.5798	0.7250	0.7210	0.7224	0.7513	27189
loroW_onehot_s42_e14	0.5773	0.7235	0.4797	0.7291	0.7488	27189
p3_a0_d1_s1_D0_coil_seed42_e5	0.5762	0.7249	0.3718	0.7214	0.7416	27189
gld_slope1.0_s42_e14	0.5760	0.7302	0.7117	0.7226	0.7535	27189
sigma_seed4_e14	0.5759	0.7269	0.3267	0.7278	0.7475	27189
gld_w7span4_s42_e12	0.5757	0.7295	0.3160	0.7273	0.7465	27189
loroW_onehot_s42_e12	0.5716	0.7226	0.6169	0.7245	0.7491	27189
gld_slope1.0_s42_e0	0.5712	0.6635	0.4796	0.6991	0.7039	27189
gld_slope1.0_s42_e12	0.5710	0.7274	0.6945	0.7205	0.7518	27189
p3_a1_d0_s1_D0_coil_seed2_e12	0.5688	0.6856	0.4282	0.6994	0.7092	27189
p3_slope0.3_s42_e9	0.5676	0.7295	0.3981	0.7285	0.7513	27189
calib_ctrl_repro2_e14	0.5635	0.7262	0.4960	0.7364	0.7540	27189
sigma_seed1_e13	0.5607	0.7177	0.3808	0.7244	0.7437	27189
sigma_seed42_e9	0.5592	0.7261	0.4335	0.7274	0.7500	27189
sigma_seed3_e13	0.5564	0.7288	0.3438	0.7287	0.7484	27189
p3_a0_d0_s0_D0_coil_seed42_e10	0.5442	0.7219	0.4646	0.7259	0.7497	27189
p3_a0_d0_s1_D0_coil_seed1_e13	0.5401	0.7252	0.3260	0.7187	0.7462	27189
anchor_w3.0_s42_e13	0.5364	0.6387	0.1474	0.5929	0.6110	27189
slope1.0_s3_e7	0.5363	0.7238	0.3253	0.7075	0.7397	27189
p3_slope3.0_s42_e8	0.5362	0.7132	0.3262	0.7057	0.7306	27189
sa_uembmean_seed42_e12	0.5244	0.5663	0.0602	0.4983	0.4890	27189
sa_coil_seed42_e14	0.5058	0.5560	0.1564	0.5874	0.5914	27189
p3_a0_d1_s1_D1_uemb_seed42_e6	0.3204	0.2599	0.0113	0.4000	0.3588	27189
p3_a0_d0_s0_D1_uemb_seed2_e12	0.2690	0.2590	0.0121	0.3907	0.3472	27189
p3_a0_d1_s0_D1_uemb_seed42_e13	0.2636	0.2121	0.0215	0.4065	0.3676	27189
gld_dg_coil_s42_e13	0.2482	0.3714	0.1029	0.4647	0.4940	27189
p3_a0_d0_s0_D1_uemb_seed42_e9	0.2335	0.1557	0.0068	0.3804	0.3353	27189
gld_dg_coil_s42_e14	0.2212	0.3478	0.0911	0.4470	0.4780	27189
gld_dg_coil_s42_e4	0.2163	0.2604	0.0492	0.4359	0.4458	27189
gld_dg_coil_s42_e12	0.2130	0.3470	0.0908	0.4455	0.4775	27189
gld_dg_coil_s42_e8	0.2002	0.2971	0.0833	0.4362	0.4559	27189
p3_a0_d0_s1_D1_uemb_seed1_e9	0.1785	0.2417	0.0056	0.3818	0.3367	27189
gld_dg_coil_s42_e0	0.1758	0.3195	0.0262	0.3962	0.3621	27189
p3_a1_d1_s1_D1_uemb_seed42_e14	0.1575	0.1748	0.0158	0.3967	0.3560	27189
p3_a0_d0_s1_D1_uemb_seed42_e11	0.1514	0.1294	0.0049	0.3729	0.3272	27189
p3_a1_d0_s0_D1_uemb_seed42_e14	0.0943	0.1566	0.0156	0.3905	0.3550	27189
p3_a1_d0_s1_D1_uemb_seed42_e12	0.0800	0.1285	0.0052	0.3798	0.3397	27189
loroWdesc2_s42_e11	-0.0026	-0.0153	0.0003	0.3097	0.2943	27189
p3_a0_d0_s0_D1_uemb_seed1_e14	-0.0318	0.0627	0.0026	0.3664	0.3202	27189
p3_a1_d1_s0_D1_uemb_seed42_e14	-0.0687	0.0812	0.0050	0.3370	0.3274	27189
p3_a1_d1_s0_D1_uemb_seed42_e12	-0.0741	0.1333	0.0110	0.3461	0.3333	27189
