k	strategy	mean	sd	n_reps	gain
0	random	0.6191133918930961	0.0	40	0.0
0	spread	0.6191133918930961	0.0	40	0.0
0	central	0.6191133918930961	0.0	40	0.0
0	extremes	0.6191133918930961	0.0	40	0.0
0	stratified	0.6191133918930961	0.0	40	0.0
0	diverse	0.6191133918930961	0.0	40	0.0
1	random	0.5781614962794248	0.03498561230257406	40	-0.040951895613671296
1	spread	0.4052515731798029	0.0	1	-0.21386181871329318
1	central	0.5821440054452929	0.0	1	-0.03696938644780323
1	extremes	0.5645305937672533	0.0	1	-0.05458279812584277
1	stratified	0.5856911191603199	0.03760853972233615	40	-0.033422272732776204
1	diverse	0.5766702029947653	0.0	1	-0.042443188898330764
3	random	0.6782362335921033	0.019200304870379156	40	0.05912284169900717
3	spread	0.6192592133501209	0.0	1	0.00014582145702479732
3	central	0.6472608058751577	0.0	1	0.028147413982061553
3	extremes	0.6217594522188086	0.0	1	0.0026460603257124626
3	stratified	0.6857515009833797	0.019857670896104213	40	0.06663810909028356
3	diverse	0.5830866254574527	0.0	1	-0.0360267664356434
5	random	0.7022544171089569	0.014100294100054239	40	0.08314102521586075
5	spread	0.6877467446489176	0.0	1	0.0686333527558215
5	central	0.6875138310982271	0.0	1	0.06840043920513095
5	extremes	0.6356105572685385	0.0	1	0.016497165375442435
5	stratified	0.7091729212785168	0.010394201863042102	40	0.09005952938542072
5	diverse	0.6262413105903459	0.0	1	0.007127918697249824
8	random	0.7172945732913801	0.008683908617633226	40	0.09818118139828402
8	spread	0.6936125936986955	0.0	1	0.07449920180559944
8	central	0.7231604112155838	0.0	1	0.10404701932248772
8	extremes	0.6282822500508606	0.0	1	0.00916885815776447
8	stratified	0.7199412043899497	0.008599272735400494	40	0.10082781249685357
8	diverse	0.6630718866932566	0.0	1	0.04395849480016045
12	random	0.7268010468431869	0.0063926551542963445	40	0.1076876549500908
12	spread	0.7334522494973132	0.0	1	0.11433885760421714
12	central	0.7254693447860262	0.0	1	0.1063559528929301
12	extremes	0.6388547736410963	0.0	1	0.01974138174800022
12	stratified	0.730834173305047	0.005432600960180426	40	0.11172078141195085
12	diverse	0.6803587065133099	0.0	1	0.061245314620213764
20	random	0.7346653495962358	0.004282527102907959	40	0.11555195770313964
20	spread	0.7297665408500992	0.0	1	0.11065314895700307
20	central	0.7348679710110729	0.0	1	0.11575457911797682
20	extremes	0.6506239526663472	0.0	1	0.031510560773251095
20	stratified	0.7373815737542179	0.0029664593770017274	40	0.11826818186112176
20	diverse	0.6905797195732091	0.0	1	0.07146632768011296
