het_code,rank,occurrences,classification,counts_as_bound_ligand,note
SO4,1,12140,crystallization_additive,no,sulfate ion - crystallization precipitant/buffer
GOL,2,9920,crystallization_additive,no,glycerol - cryoprotectant
MG,3,9620,metal,yes,
ZN,4,9360,metal,yes,
MSE,5,9072,modified_residue,no,"selenomethionine - amino acid in the chain, used for MAD/SAD phasing"
CL,6,7743,crystallization_additive,no,
CA,7,6555,metal,yes,
NAG,8,4973,substrate,yes,
EDO,9,4875,crystallization_additive,no,ethylene glycol - cryoprotectant
NA,10,3872,metal,yes,
PO4,11,3504,crystallization_additive,no,
U,12,3207,substrate,yes,uridine monophosphate residue - RNA chain residue
A,13,3160,substrate,yes,adenosine monophosphate residue - RNA chain residue
C,14,3098,substrate,yes,
G,15,3090,substrate,yes,
DT,16,2671,substrate,yes,thymidine monophosphate residue - DNA chain residue
DG,17,2650,substrate,yes,
DC,18,2647,substrate,yes,
DA,19,2602,substrate,yes,
ACT,20,2540,crystallization_additive,no,
HEM,21,2081,cofactor,yes,protoporphyrin IX containing Fe - heme cofactor
MN,22,1702,metal,yes,
PEG,23,1649,crystallization_additive,no,polyethylene glycol - precipitant
K,24,1646,metal,yes,
BMA,25,1596,substrate,yes,
FAD,26,1585,cofactor,yes,flavin adenine dinucleotide - redox cofactor
MAN,27,1578,substrate,yes,
ADP,28,1409,substrate,yes,
UNK,29,1287,crystallization_additive,no,unknown atom/residue placeholder - not a real ligand
MPD,30,1059,crystallization_additive,no,
GDP,31,1028,substrate,yes,
FE,32,1020,metal,yes,
FUC,33,981,substrate,yes,
GLC,34,923,substrate,yes,
TRS,35,881,crystallization_additive,no,
SF4,36,868,metal,yes,
ATP,37,866,substrate,yes,
CU,38,866,metal,yes,
NAD,39,840,cofactor,yes,nicotinamide adenine dinucleotide - redox cofactor
PG4,40,792,crystallization_additive,no,
GAL,41,776,substrate,yes,
CD,42,773,metal,yes,
ACE,43,768,crystallization_additive,no,
NI,44,768,metal,yes,
FMT,45,759,crystallization_additive,no,
PGE,46,721,crystallization_additive,no,
FES,47,698,metal,yes,
MES,48,697,crystallization_additive,no,
ACY,49,697,crystallization_additive,no,
EPE,50,676,crystallization_additive,no,
CIT,51,636,crystallization_additive,no,
PCA,52,607,modified_residue,no,
BME,53,605,crystallization_additive,no,
FMN,54,596,cofactor,yes,
NAP,55,578,cofactor,yes,
HEC,56,570,cofactor,yes,
UNX,57,565,crystallization_additive,no,unknown atom or ion - not a real ligand
ANP,58,542,substrate,yes,
NH2,59,526,crystallization_additive,no,
BGC,60,517,substrate,yes,
SAH,61,515,cofactor,yes,
TPO,62,502,modified_residue,no,phosphothreonine - modified residue in the chain
UNL,63,500,crystallization_additive,no,unknown ligand - not a real ligand
SEP,64,485,modified_residue,no,phosphoserine - modified residue in the chain
AMP,65,476,substrate,yes,
IOD,66,475,crystallization_additive,no,
1PE,67,465,crystallization_additive,no,
IMD,68,462,crystallization_additive,no,
GSH,69,460,cofactor,yes,
FE2,70,417,metal,yes,
CO,71,414,metal,yes,
PLP,72,397,cofactor,yes,
GTP,73,393,substrate,yes,
IPA,74,383,crystallization_additive,no,
NO3,75,375,crystallization_additive,no,
CSO,76,371,modified_residue,no,
COA,77,366,cofactor,yes,
PSU,78,363,modified_residue,no,
NDP,79,358,cofactor,yes,
DMS,80,350,crystallization_additive,no,
NDG,81,340,substrate,yes,
KCX,82,339,modified_residue,no,
GNP,83,336,substrate,yes,
CSD,84,321,modified_residue,no,
PTR,85,317,modified_residue,no,phosphotyrosine - modified residue in the chain
5MU,86,301,modified_residue,no,
HG,87,298,metal,yes,
FLC,88,295,crystallization_additive,no,
SIA,89,293,substrate,yes,
OMG,90,283,modified_residue,no,
MRD,91,272,crystallization_additive,no,
CLA,92,266,cofactor,yes,
5MC,93,263,modified_residue,no,
BR,94,260,crystallization_additive,no,
BOG,95,256,crystallization_additive,no,
2MG,96,255,modified_residue,no,
P6G,97,255,crystallization_additive,no,
BCR,98,253,cofactor,yes,
FUL,99,241,substrate,yes,
SAM,100,241,cofactor,yes,
FRU,101,227,substrate,yes,
CAC,102,223,crystallization_additive,no,
MLI,103,222,crystallization_additive,no,
UR3,104,222,modified_residue,no,
CME,105,220,modified_residue,no,
MLY,106,219,modified_residue,no,
CO3,107,211,crystallization_additive,no,
M2G,108,207,modified_residue,no,
F3S,109,205,metal,yes,
TPP,110,205,cofactor,yes,
OXY,111,202,cofactor,yes,
7MG,112,196,modified_residue,no,
LMG,113,195,cofactor,yes,
LMT,114,194,crystallization_additive,no,
TLA,115,189,crystallization_additive,no,
H2U,116,189,modified_residue,no,
OMC,117,185,modified_residue,no,
SCN,118,181,crystallization_additive,no,
OCS,119,179,modified_residue,no,
BCT,120,178,crystallization_additive,no,
LLP,121,178,modified_residue,no,
AZI,122,173,crystallization_additive,no,
1MA,123,173,modified_residue,no,
LHG,124,170,cofactor,yes,
THP,125,168,cofactor,yes,
OMU,126,168,modified_residue,no,
MYR,127,167,cofactor,yes,
PLM,128,159,cofactor,yes,
M3L,129,155,modified_residue,no,
LDA,130,154,crystallization_additive,no,
MA6,131,153,modified_residue,no,
DGD,132,151,cofactor,yes,
FME,133,151,modified_residue,no,
4OC,134,151,modified_residue,no,
DIO,135,149,crystallization_additive,no,
RET,136,147,cofactor,yes,
HYP,137,146,modified_residue,no,
CDL,138,145,cofactor,yes,
OHX,139,142,crystallization_additive,no,
UDP,140,142,substrate,yes,
PYR,141,142,crystallization_additive,no,
DTT,142,140,crystallization_additive,no,
NHE,143,138,crystallization_additive,no,
EOH,144,138,crystallization_additive,no,
2MA,145,134,modified_residue,no,
NAI,146,132,cofactor,yes,
BTB,147,130,crystallization_additive,no,
ACO,148,129,cofactor,yes,
POP,149,129,crystallization_additive,no,
BEN,150,129,unknown,yes,
NH4,151,129,crystallization_additive,no,
ACP,152,127,substrate,yes,
GCP,153,125,substrate,yes,
BCL,154,125,cofactor,yes,
SQD,155,123,cofactor,yes,
AGS,156,122,substrate,yes,
GLA,157,118,substrate,yes,
U10,158,116,cofactor,yes,
BPH,159,113,cofactor,yes,
UMP,160,109,substrate,yes,
CMO,161,108,cofactor,yes,
XYP,162,106,substrate,yes,
HED,163,106,crystallization_additive,no,
PQN,164,105,cofactor,yes,
5GP,165,105,substrate,yes,
SIN,166,104,crystallization_additive,no,
PHO,167,103,cofactor,yes,
MLA,168,103,crystallization_additive,no,
CMP,169,102,substrate,yes,
0TD,170,102,unknown,yes,
AKG,171,101,crystallization_additive,no,
CU1,172,100,metal,yes,
ALF,173,100,metal,yes,
N,174,100,unknown,yes,
TYS,175,99,modified_residue,no,
CUA,176,98,metal,yes,
BEF,177,97,metal,yes,
ALY,178,96,modified_residue,no,
DAL,179,96,modified_residue,no,
SPD,180,96,crystallization_additive,no,
P5P,181,96,crystallization_additive,no,
PEE,182,95,crystallization_additive,no,
Y5P,183,95,substrate,yes,
PL9,184,94,unknown,yes,
CRO,185,94,modified_residue,no,
PE4,186,94,crystallization_additive,no,
G7M,187,94,modified_residue,no,
1MG,188,93,modified_residue,no,
6MZ,189,92,modified_residue,no,
SMA,190,91,unknown,yes,
C8E,191,89,crystallization_additive,no,
PAR,192,89,substrate,yes,
CSX,193,89,modified_residue,no,
BEZ,194,87,crystallization_additive,no,
HEZ,195,86,crystallization_additive,no,
OLC,196,86,crystallization_additive,no,
A2G,197,86,substrate,yes,
CYN,198,85,crystallization_additive,no,
PGO,199,84,crystallization_additive,no,
SO3,200,83,crystallization_additive,no,
CAP,201,82,unknown,yes,
SR,202,82,metal,yes,
2PE,203,80,crystallization_additive,no,
CSS,204,79,modified_residue,no,
