protein,n,a_p,r,ratio,sd_true,pct_deficit_from_r
HEEH_KT_rd6_0793,796,0.08732011150479203,0.37466298146038407,0.2333055957381861,0.8056100308297026,40.26489429488607
2KVS,1207,0.09331645027364793,0.2308112686863031,0.4500948821529385,1.1478410530255234,61.81719984885285
1QKH,1272,0.24419302035083246,0.5317031640903289,0.45966228869950676,0.8076590407379145,44.8057572474657
HHH_rd1_0142,804,0.2654627649145578,0.7713461067635409,0.3438488857959558,1.0713172478970316,19.574898522972365
HHH_rd1_0244,771,0.2805742931947231,0.837242088241471,0.3353035424681701,1.014290949962427,13.977470983401757
3DKM,1239,0.291851247207693,0.6410718453730399,0.45544890472167193,0.9968582354800813,36.10310690223654
2KXD,1173,0.32960530749878775,0.8110539441456286,0.40643871542463345,1.3631224484035416,18.869121223309666
6EWT,1025,0.3451219898921131,0.8042924817187158,0.4288738950790356,1.3153707898144826,20.471945482514464
1QP2,1083,0.35552912062715913,0.5721142456306144,0.6225720569835896,1.1246650016423232,53.99773663135651
r18_3_TrROS_Hall,990,0.36057954103397755,0.8038796932414369,0.44894874368406174,0.6641018713274489,21.401619270105417
4C26,1160,0.3607492515822794,0.7850741135250422,0.459473921109871,1.2809624206312644,23.733205355914553
6EWU,1010,0.36177297105122036,0.8172524424255824,0.4423321988869988,1.2126205397918952,19.848492166466354
6EWS,1036,0.3810245522499572,0.8106806638206536,0.4698089028598013,1.2304609209217234,21.75177895605938
HEEH_KT_rd6_0746,807,0.39777740760763464,0.7336760470677676,0.5414421108125228,0.4767036496961868,33.59369004029504
2K5H,1125,0.42594986985628536,0.8569002787447801,0.49696355731119013,1.58465631765369,18.095575931370384
r11_1081_TrROS_Hall,898,0.44500254069852735,0.7863328407558403,0.565899088681209,0.7701864590474329,29.687841336829766
2BTH,801,0.45264155881927753,0.8496221448560571,0.5325312574826467,0.7354186643614912,20.559211737839117
2LQK,990,0.4683498992234192,0.6249829290578718,0.7489521507700642,0.6717772484135014,61.965246658286866
1TUC,1044,0.477188140361366,0.7741087139472976,0.6167321955777423,1.0847993266287832,34.60767474286869
1GYZ,1126,0.4830408545669502,0.7020317311034852,0.6886055280572722,0.7279965577031292,48.61880146895012
r12_757_TrROS_Hall,982,0.5056146753337994,0.7339466906978637,0.6883839896950944,0.6369267946793827,45.35597745884877
2KWH,980,0.5285011527702139,0.8012835826973,0.6580864690941701,0.7214805170361868,34.73996913037744
1PSE,1218,0.5623532736957944,0.697268135788346,0.808074777274443,0.6737887090581945,62.642384584597764
2L33,1334,0.5968381431659374,0.7995752952192582,0.7471430701255605,0.8140924849129023,43.33860383505179
2K28,920,0.6400561406879963,0.8379024919300021,0.7638800878777502,0.9591798802388737,39.63554156281926
2K1B,934,0.773743825158709,0.811637503487738,0.9538037372249661,0.8476815167223525,81.36051385517483
2WXC,787,0.9238878539741449,0.8533382708225704,1.0823454907439987,0.8130076969334498,200.34115551180457
1W4H,802,0.9903768611871756,0.839029803054938,1.179946591692912,0.7975865987452923,1815.0337376940204
