protein,n_mut,n_res,varmut_f_D,varmut_u_D,maxFU_D,varmut_f_Fb,varmut_u_Fb,maxFU_Fb,varmut_f_emb,varmut_u_emb,maxFU_emb,varmut_f_oh,varmut_u_oh,maxFU_oh,fracvar_f_D,fracvar_f_Fb,fracvar_f_emb,fracvar_f_oh
1GYZ,24,59,0.0,0.0,0.040950290858745575,0.0,0.0,0.0,0.49745073914527893,0.49745073914527893,0.0,0.032485879957675934,0.032485879957675934,0.0,0.0,0.0,0.9386986748188589,0.06130145171558207
1PSE,24,68,0.0,0.0,0.03766021877527237,0.0,0.0,0.0,0.2527874708175659,0.2527874708175659,0.0,0.02818627469241619,0.02818627469241619,0.0,0.0,0.0,0.8996836415775536,0.1003164048271972
1QKH,24,67,0.0,0.0,0.044577233493328094,0.0,0.0,0.0,0.3040788471698761,0.3040788471698761,0.0,0.02818627469241619,0.02818627469241619,0.0,0.0,0.0,0.9151692784480142,0.08483067109888556
1QP2,24,63,0.0,0.0,0.037808939814567566,0.0,0.0,0.0,0.27400127053260803,0.27400127053260803,0.0,0.030423283576965332,0.030423283576965332,0.0,0.0,0.0,0.9000628891781861,0.0999370129245876
1TUC,24,59,0.0,0.0,0.03903127461671829,0.0,0.0,0.0,0.3197890520095825,0.3197890520095825,0.0,0.03248587250709534,0.03248587250709534,0.0,0.0,0.0,0.9077826913237337,0.09221739327588681
1W4H,24,44,0.0,0.0,0.04022497683763504,0.0,0.0,0.0,0.7518046498298645,0.7518046498298645,0.0,0.04356060549616814,0.04356060549616814,0.0,0.0,0.0,0.9452319260732246,0.05476805050803675
2BTH,24,43,0.0,0.0,0.04787265509366989,0.0,0.0,0.0,0.6620954871177673,0.6620954871177673,0.0,0.043560609221458435,0.043560609221458435,0.0,0.0,0.0,0.9382692513336913,0.061730643082585225
2K1B,24,49,0.0,0.0,0.043684691190719604,0.0,0.0,0.0,0.5846268534660339,0.5846268534660339,0.0,0.039115648716688156,0.039115648716688156,0.0,0.0,0.0,0.9372888488897204,0.06271121680757583
2K28,24,50,0.0,0.0,0.04506080597639084,0.0,0.0,0.0,0.7280340790748596,0.7280340790748596,0.0,0.038333334028720856,0.038333334028720856,0.0,0.0,0.0,0.949980521113301,0.05001952749641824
2K5H,24,62,0.0,0.0,0.034117192029953,0.0,0.0,0.0,0.32342272996902466,0.32342272996902466,0.0,0.03219962492585182,0.03219962492585182,0.0,0.0,0.0,0.9094555752902987,0.09054443518511225
2KVS,24,67,0.0,0.0,0.04257473349571228,0.0,0.0,0.0,4.145367622375488,4.145367622375488,0.0,0.028606968000531197,0.028606968000531197,0.0,0.0,0.0,0.9931464799396993,0.006853652597207869
2KWH,24,52,0.0,0.0,0.032865993678569794,0.0,0.0,0.0,1.969815969467163,1.969815969467163,0.0,0.036858975887298584,0.036858975887298584,0.0,0.0,0.0,0.9816319028434747,0.018368186266099724
2KXD,24,71,0.0,0.0,0.03218778222799301,0.0,0.0,0.0,0.3347998559474945,0.3347998559474945,0.0,0.026995301246643066,0.026995301246643066,0.0,0.0,0.0,0.925385122741824,0.074614877258176
2L33,24,71,0.0,0.0,0.04204758256673813,0.0,0.0,0.0,0.2663858234882355,0.2663858234882355,0.0,0.026995303109288216,0.026995303109288216,0.0,0.0,0.0,0.9079855554066811,0.09201445094221117
2LQK,24,62,0.0,0.0,0.039118073880672455,0.0,0.0,0.0,0.5775681734085083,0.5775681734085083,0.0,0.030913976952433586,0.030913976952433586,0.0,0.0,0.0,0.9491948827252845,0.0508050652354472
2WXC,24,44,0.0,0.0,0.04065041244029999,0.0,0.0,0.0,0.663044810295105,0.663044810295105,0.0,0.043560609221458435,0.043560609221458435,0.0,0.0,0.0,0.9383524239405409,0.06164772367811709
3DKM,24,72,0.0,0.0,0.036047667264938354,0.0,0.0,0.0,0.22592109441757202,0.22592109441757202,0.0,0.026620373129844666,0.026620373129844666,0.0,0.0,0.0,0.894590143718023,0.10540991528678995
4C26,24,62,0.0,0.0,0.04507375508546829,0.0,0.0,0.0,0.2888464629650116,0.2888464629650116,0.0,0.030913978815078735,0.030913978815078735,0.0,0.0,0.0,0.9033213565628809,0.09667855023509744
6EWS,24,56,0.0,0.0,0.04206749051809311,0.0,0.0,0.0,0.521649181842804,0.521649181842804,0.0,0.0342261902987957,0.0342261902987957,0.0,0.0,0.0,0.9384282206749659,0.06157169220340204
