protein,n,site_share,n_res,uniform
1GYZ,19,0.14073827862739563,59,0.01694915254237288
1PSE,19,0.12314290592544958,68,0.014705882352941176
1QKH,19,0.13830126155363887,68,0.014705882352941176
1QP2,19,0.12090475504335604,63,0.015873015873015872
1TUC,19,0.14109428815151515,59,0.01694915254237288
1W4H,19,0.14729421076021695,44,0.022727272727272728
2BTH,19,0.13527055555268339,44,0.022727272727272728
2K1B,19,0.14497717352289902,49,0.02040816326530612
2K28,19,0.15071812350499003,50,0.02
2K5H,19,0.08152643414704423,62,0.016129032258064516
2KVS,19,0.035022733782074954,67,0.014925373134328358
2KWH,19,0.07993069369541972,52,0.019230769230769232
2KXD,19,0.11661467975691746,71,0.014084507042253521
2L33,19,0.1332289192237352,71,0.014084507042253521
2LQK,19,0.07903712772225079,62,0.016129032258064516
2WXC,19,0.148027970210502,44,0.022727272727272728
3DKM,19,0.13587243737358795,72,0.013888888888888888
4C26,19,0.14871542038101898,62,0.016129032258064516
6EWS,19,0.11878606363346703,56,0.017857142857142856
6EWT,19,0.1170581316477374,57,0.017543859649122806
6EWU,19,0.1332859938081942,56,0.017857142857142856
HEEH_KT_rd6_0746,19,0.07592080004121128,43,0.023255813953488372
HEEH_KT_rd6_0793,19,0.07821148183000715,43,0.023255813953488372
HHH_rd1_0142,19,0.11197147087046974,43,0.023255813953488372
HHH_rd1_0244,19,0.09241449636848349,43,0.023255813953488372
r11_1081_TrROS_Hall,19,0.09140398392551824,49,0.02040816326530612
r12_757_TrROS_Hall,19,0.11147216119264301,54,0.018518518518518517
r18_3_TrROS_Hall,19,0.10141318644347944,52,0.019230769230769232
