protein,a_p,b_p,abs_b_p,ddg_pcc,a_dg,designed,has_plddt,n_res,bfac_mean,bfac_std,bfac_all_zero,Rg,Rg_over_N13,asphericity,acylindricity,shape_aniso,hull_vol,hull_area,sphericity,vol_per_res,n_contacts,contact_density,CO_abs,RCO,LRO,frac_longrange,CO_heavy_abs,RCO_heavy,heavy_contact_density,SASA_total,SASA_per_res,SASA_over_N23,RSA_mean,frac_buried_rsa20,frac_buried_rsa05,frac_exposed_rsa50,mean_hydropathy,buried_hydrophobic_frac,exposed_hydrophobic_frac,hydrophobic_moment_proxy,depth_mean,depth_max,depth_p90,frac_deep_6A,frac_H,frac_E,frac_C,n_helix_seg,mean_helix_len,n_strand_seg,ss_order,n_hbond,hbond_per_res,hbond_lr_per_res,hbond_lr_frac,n_saltbridge,saltbridge_per_res,frac_charged,net_charge,net_charge_per_res,n_disulfide,n_cys,packing_frac,void_vol_per_res,ca_nb10_mean,ca_nb10_std,frac_core_nb10_gt20,frac_gly,frac_pro,frac_aromatic,frac_ILVFM
1GYZ,0.5124178564382987,0.3817643899999997,0.7282093899999997,0.6888925187800791,0.5124178543830814,False,True,59,87.81820128479659,5.331978008592092,0,9.904511451721191,2.5441871488339025,0.2426843265377609,0.0342406332492828,0.0597749584215883,8981.899908586242,2297.394987763109,0.9095514335004836,152.23559167095326,144,2.440677966101695,10.29861111111111,0.1745527306967985,0.5423728813559322,0.2222222222222222,13.00438596491228,0.2204133214391912,3.864406779661017,4302.194482295458,72.91855054738065,283.8716559316261,0.2996830497531463,0.3389830508474576,0.1864406779661017,0.2033898305084746,-0.0067796610169491,0.288135593220339,0.0169491525423728,0.6724294831569007,1.987249374175187,4.905493778487998,3.896290466726541,0.0,0.7966101694915254,0.0,0.2033898305084746,4,11.75,0,0.7966101694915254,105,1.7796610169491525,0.0,0.0,1,0.0169491525423728,0.2542372881355932,3.0,0.0508474576271186,0,0,0.9696092052957056,4.626560613158722,15.11864406779661,4.170455999791105,0.1186440677966101,0.0508474576271186,0.0169491525423728,0.0847457627118644,0.3220338983050847
1PSE,0.5532741568304634,0.9364152599999999,0.9364152599999999,0.684138236105045,0.553274156964566,False,True,68,95.15862264150944,2.7424805926381315,0,12.201558113098145,2.989365296290343,0.4397491972323091,0.0549961701035499,0.1956478526895916,12309.16694430169,2904.434989411756,0.8876496218576557,181.0171609456131,155,2.2794117647058822,19.83870967741936,0.2917457305502846,1.411764705882353,0.6193548387096774,22.23706896551724,0.3270157200811359,3.411764705882353,4967.514974030737,73.05169079456967,298.17180643534385,0.2886037959379128,0.3235294117647059,0.1911764705882352,0.1764705882352941,-0.1647058823529411,0.1617647058823529,0.0588235294117647,0.3516538056578073,1.8213489616138308,4.771303561495696,3.868517745185721,0.0,0.0,0.5147058823529411,0.4852941176470588,0,0.0,9,0.5147058823529411,46,0.6764705882352942,0.3235294117647059,0.4782608695652174,3,0.0441176470588235,0.2205882352941176,1.0,0.0147058823529411,0,0,0.801116694599942,36.00129130299782,14.735294117647058,4.5232004775992,0.1029411764705882,0.1176470588235294,0.0147058823529411,0.1176470588235294,0.2941176470588235
1QKH,0.21256660839614278,-1.6413355200000002,1.6413355200000002,0.5170782615810066,0.21256660935538338,False,True,68,94.91580586080586,2.3851912999593026,0,10.725159645080566,2.627649661051089,0.248658079729985,0.0680454671382904,0.0653035224218262,9782.28793227141,2450.259734046531,0.902746117123818,143.85717547457958,172,2.5294117647058822,15.325581395348838,0.225376196990424,1.5147058823529411,0.5988372093023255,16.333333333333332,0.2401960784313725,3.882352941176471,4343.096366167461,63.86906420834502,260.6914917806782,0.2497472065793152,0.4264705882352941,0.25,0.1176470588235294,-0.1911764705882352,0.2647058823529412,0.0,0.5645691082534231,2.157114383109556,5.19270606610111,4.11994713747713,0.0,0.25,0.4117647058823529,0.3382352941176471,2,8.5,5,0.6617647058823529,69,1.0147058823529411,0.2205882352941176,0.217391304347826,4,0.0588235294117647,0.25,1.0,0.0147058823529411,0,0,1.042355617075119,-6.093159437909488,15.5,3.990798239479828,0.088235294117647,0.0735294117647058,0.0441176470588235,0.0735294117647058,0.3382352941176471
1QP2,0.34356309675051155,0.18758464999999985,0.34146475000000004,0.5697210841038371,0.3435630954282096,False,True,63,94.59930966469427,4.082583989138268,0,10.622825622558594,2.669684065229754,0.2426147413234273,0.0611582472920417,0.0616671213224464,9652.541617148448,2378.329868702565,0.921806620468009,153.21494630394363,156,2.4761904761904763,19.82692307692308,0.3147130647130647,1.5238095238095235,0.6153846153846154,21.363636363636363,0.3391053391053391,3.6666666666666665,4365.893729098911,69.29990046188747,275.74826843937586,0.2724579706180443,0.3333333333333333,0.1904761904761904,0.1428571428571428,-0.2761904761904761,0.1904761904761904,0.0158730158730158,0.4468865602419663,1.9191179185797305,4.838004810133566,3.909632248020465,0.0,0.0,0.5079365079365079,0.492063492063492,0,0.0,8,0.5079365079365079,48,0.7619047619047619,0.365079365079365,0.4791666666666667,3,0.0476190476190476,0.2539682539682539,-2.0,-0.0317460317460317,0,0,0.9767627509842588,3.5602938601981777,15.46031746031746,4.8200157966723856,0.1587301587301587,0.0634920634920634,0.0317460317460317,0.1111111111111111,0.3174603174603174
1TUC,0.4680069186559611,0.9548993299999999,0.9639269500000001,0.753761452477585,0.46800691860777804,False,True,59,93.92659619450316,7.397394092887193,0,10.304142951965332,2.6468411093191184,0.2314436044334625,0.0402007550001144,0.0547782144811301,9504.76382566088,2395.2335045022114,0.9059352391191718,161.0976919603539,151,2.559322033898305,20.582781456953644,0.3488607026602312,1.4745762711864407,0.5761589403973509,21.404761904761905,0.3627925746569814,3.559322033898305,4319.284237392978,73.2082074134403,284.9992890730294,0.2891354935982665,0.3559322033898305,0.1694915254237288,0.1694915254237288,-0.5203389830508475,0.2203389830508474,0.0,0.6313040217661986,2.016699311108193,4.872346821160172,3.522173474196241,0.0,0.0,0.6440677966101694,0.3559322033898305,0,0.0,7,0.6440677966101694,42,0.711864406779661,0.3898305084745763,0.5476190476190477,3,0.0508474576271186,0.288135593220339,1.0,0.0169491525423728,0,0,0.9275590674597872,11.67006703568395,14.745762711864408,4.732123257055497,0.1525423728813559,0.0847457627118644,0.0338983050847457,0.1016949152542373,0.2711864406779661
1W4H,0.9473242854956269,-0.11105995999999996,0.57883628,0.8292745284184109,0.947324285908923,False,True,44,81.92577507598783,9.500765834969776,0,9.522531509399414,2.697334825040689,0.3377109989756361,0.1752289086580276,0.1370776652464544,7072.469896052647,2003.6478561171152,0.8892901189298306,160.7379521830147,90,2.0454545454545454,8.422222222222222,0.1914141414141414,0.4545454545454545,0.2222222222222222,9.786259541984732,0.2224149895905621,2.977272727272727,3744.757413257809,85.10812302858658,300.46132045669646,0.3520545337605736,0.2272727272727272,0.1136363636363636,0.2727272727272727,-0.4772727272727272,0.1590909090909091,0.0227272727272727,0.6292100879397029,1.3398657385423638,4.908130800996067,2.732161484734458,0.0,0.4545454545454545,0.1363636363636363,0.4090909090909091,2,10.0,2,0.5909090909090908,56,1.2727272727272727,0.0227272727272727,0.0178571428571428,1,0.0227272727272727,0.2954545454545454,1.0,0.0227272727272727,0,0,0.857731937664688,22.867877000823537,13.136363636363637,4.590459023843561,0.0681818181818181,0.0909090909090909,0.0227272727272727,0.0,0.2272727272727272
2BTH,0.36294326788267073,-0.5106152679000002,0.9717334078999997,0.7893004710626446,0.36294326978541175,False,True,44,84.06714714714715,9.81735978369398,0,9.556387901306152,2.706924924569384,0.3315663044556128,0.1759637296199798,0.1331586146475698,7005.709774444785,1996.232806623668,0.8869674800967312,159.2206766919269,89,2.022727272727273,8.48314606741573,0.1927987742594484,0.4545454545454545,0.2247191011235955,9.7578125,0.2217684659090909,2.909090909090909,3746.599844251804,85.14999646026827,300.6091482565284,0.3473587759830068,0.25,0.1136363636363636,0.2727272727272727,-0.425,0.1818181818181818,0.0227272727272727,0.6697800325723515,1.5229014191149803,4.91898365762053,2.8002563668251743,0.0,0.4545454545454545,0.1363636363636363,0.4090909090909091,2,10.0,2,0.5909090909090908,56,1.2727272727272727,0.0227272727272727,0.0178571428571428,1,0.0227272727272727,0.2954545454545454,1.0,0.0227272727272727,0,0,0.8783667331924011,19.36653104935559,13.045454545454543,4.557484081927746,0.0681818181818181,0.0909090909090909,0.0227272727272727,0.0227272727272727,0.2272727272727272
2K1B,0.7674331425331593,1.13270224,1.15296534,0.8042667303349736,0.7674331425850358,False,True,49,90.24532863849768,5.066303623326758,0,10.15434455871582,2.774937478140376,0.28940089724495,0.1267096549272537,0.0957943060704877,8912.79770367198,2307.494073791473,0.9009200032273568,181.89383068718328,108,2.204081632653061,11.925925925925926,0.2433862433862433,0.979591836734694,0.4444444444444444,13.431506849315069,0.2741123846798993,2.979591836734694,4165.786372196957,85.0160484121828,311.0997113982899,0.3170175302865443,0.3061224489795918,0.1020408163265306,0.2040816326530612,-0.8755102040816326,0.1632653061224489,0.0612244897959183,0.3539672627263945,2.08690249725847,6.4338864037852055,3.618294102398975,0.0204081632653061,0.1632653061224489,0.3877551020408163,0.4489795918367347,1,8.0,3,0.5510204081632653,45,0.9183673469387756,0.2653061224489796,0.2888888888888888,6,0.1224489795918367,0.3877551020408163,3.0,0.0612244897959183,0,0,0.8958495143500684,18.94433080279657,13.387755102040815,4.814164163495696,0.0816326530612244,0.0408163265306122,0.0816326530612244,0.1428571428571428,0.2448979591836734
2K28,0.633788500467489,0.8942376100000002,0.96649337,0.8171064536729327,0.6337885007912891,False,True,50,93.03977064220184,5.66905158019881,0,10.352704048156738,2.810156224771005,0.224052912782007,0.1393560618162155,0.0647647686188527,9154.681560886638,2408.493315712117,0.8786869450353564,183.0936312177328,109,2.18,11.504587155963304,0.230091743119266,0.92,0.4220183486238532,13.638157894736842,0.2727631578947368,3.04,4230.513912541412,84.61027825082823,311.70693018477886,0.3232144658143667,0.28,0.12,0.14,-0.99,0.18,0.02,0.4169426775814552,2.0326424514878694,5.889652439874224,3.952712826807471,0.0,0.2,0.38,0.42,1,10.0,3,0.5800000000000001,47,0.94,0.26,0.2765957446808511,3,0.06,0.38,3.0,0.06,0,0,0.8878656282552687,20.531089307061997,13.08,4.555611923770505,0.08,0.04,0.06,0.12,0.24
2K5H,0.4423817359041268,2.15462522,2.15462522,0.8435881707360903,0.4423817472966853,False,True,62,87.23557734204795,9.356794895866908,0,10.044759750366213,2.537906729380422,0.2785036489782301,0.0731326267123222,0.0815755059945861,8634.789325140977,2227.865388155476,0.9136145527310436,139.27079556678996,177,2.8548387096774195,17.327683615819208,0.279478767997084,1.7258064516129032,0.6045197740112994,18.5,0.2983870967741935,3.838709677419355,4242.514243557817,68.42764908964222,270.82921820205,0.2802638068228583,0.3064516129032258,0.2096774193548387,0.1129032258064516,0.0903225806451611,0.1935483870967742,0.032258064516129,0.5585114814401774,2.013963849677328,5.003110912229974,3.1415598608772903,0.0,0.0806451612903225,0.6451612903225806,0.2741935483870967,1,5.0,7,0.7258064516129032,48,0.7741935483870968,0.4193548387096774,0.5416666666666666,3,0.0483870967741935,0.2903225806451613,-2.0,-0.032258064516129,0,0,0.9856069771079315,2.004527748789388,16.516129032258064,5.7774364654561925,0.2580645161290322,0.1129032258064516,0.0161290322580645,0.0161290322580645,0.3387096774193548
