protein,n,rmse_dG,mean_gap,resid_rmse
1GYZ,1125,0.9644846413621596,0.7572016594577778,0.5973912205061949
1PSE,1217,1.6345661040101134,1.5182260279899507,0.605636917891123
1QKH,1271,1.8497595043277801,1.7143141569863098,0.6947929151965158
1QP2,1082,1.2939162322489541,0.878527517947597,0.9499519020909237
1TUC,1043,1.8155979355374132,1.6695872612893576,0.713354218090858
1W4H,801,1.7092970855125387,1.544984022802996,0.731246125340251
2BTH,800,1.297321537963768,1.1995531741394998,0.49408031257734547
2K1B,933,1.0855816337048085,0.8763443445394427,0.6407090394484345
2K28,919,1.125858562065787,0.9342891791145811,0.6282206869932284
2K5H,1124,1.7207036617241271,1.5004689206283808,0.8422672436341812
2KVS,1206,3.134598334048876,2.97018782251534,1.001843807588574
2KWH,979,0.6645488156295506,0.47885976267742597,0.4607802687216085
2KXD,1172,3.125549403106813,2.9927303414074573,0.9014566960650751
2L33,1333,1.4239720132393003,1.3011531478177043,0.5785298440122737
2LQK,989,0.5734819154284745,0.11346521868574318,0.5621451338151994
2WXC,786,1.2352527895698022,1.0754330438212851,0.6076950077113222
3DKM,1238,1.5899272617009432,1.3897730720233117,0.7722690630724157
4C26,1159,2.0711921367599277,1.9091186962611304,0.8031828378161212
6EWS,1035,0.9621262126822575,0.57064379678686,0.7746305611831885
6EWT,1024,0.9589111768377889,0.4491859987277148,0.8471968977819848
6EWU,1009,0.8254664880369151,0.30505913460182355,0.7670292349500019
HEEH_KT_rd6_0746,806,0.3453148413438743,0.09011713012406948,0.3333485300860746
HEEH_KT_rd6_0793,795,1.3351273089292066,1.1106103627122212,0.7410192664733987
HHH_rd1_0142,803,2.2720684211304407,2.1098430574221294,0.8431234686247411
HHH_rd1_0244,770,0.8486761382702137,0.5005346978272728,0.6853584492367506
r11_1081_TrROS_Hall,897,0.5719099668282722,0.29872978578595316,0.487689988867717
r12_757_TrROS_Hall,981,2.069063926760166,2.0022564478342506,0.5215310634337771
r18_3_TrROS_Hall,989,1.2407346504359147,1.175957000376441,0.39566097363522534
