protein,plddt_mean,plddt_min,plddt_p10,plddt_std,plddt_frac_lt70,plddt_frac_lt90,plddt_n
1GYZ,87.95847457627119,57.52,84.27000000000001,5.21391335376312,0.01694915254237288,0.576271186440678,59
1PSE,94.85529411764706,79.81,91.24,3.0611013872866875,0.0,0.07352941176470588,68
1QKH,94.90132352941177,80.92,92.75,2.4413177897362903,0.0,0.029411764705882353,68
1QP2,94.38412698412698,76.46,89.13199999999999,4.319157114202186,0.0,0.1111111111111111,63
1TUC,93.20610169491525,47.99,86.574,8.926175961733259,0.03389830508474576,0.2033898305084746,59
1W4H,81.62545454545455,46.78,67.324,9.493499968349319,0.13636363636363635,1.0,44
2BTH,83.71295454545454,46.51,69.715,9.819269991230332,0.11363636363636363,0.9090909090909091,44
2K1B,90.23591836734694,66.5,86.22999999999999,4.775503428246837,0.02040816326530612,0.3877551020408163,49
2K28,93.0398,60.23,91.435,5.453929304377062,0.02,0.06,50
2K5H,87.13532258064517,52.02,75.53200000000001,9.73048862650943,0.08064516129032258,0.5,62
2KVS,94.19701492537313,68.2,91.866,4.082543775832916,0.014925373134328358,0.04477611940298507,67
2KWH,89.11980769230769,58.5,81.474,6.680759757893171,0.019230769230769232,0.40384615384615385,52
2KXD,88.33549295774648,63.1,78.75,6.680010433852502,0.028169014084507043,0.43661971830985913,71
2L33,96.31633802816901,87.96,90.57,3.0168641427040144,0.0,0.08450704225352113,71
2LQK,88.53403225806451,60.09,82.463,5.74113670691327,0.016129032258064516,0.46774193548387094,62
2WXC,82.39022727272727,46.77,68.54899999999999,9.400854114743021,0.11363636363636363,0.9772727272727273,44
3DKM,94.16583333333332,55.27,87.876,9.203288718682925,0.06944444444444445,0.125,72
4C26,95.83774193548386,50.34,95.092,7.615720888637032,0.03225806451612903,0.04838709677419355,62
6EWS,87.57124999999999,61.31,83.19,5.528283989054502,0.03571428571428571,0.6428571428571429,56
6EWT,87.29578947368421,60.55,82.094,6.37979650016038,0.03508771929824561,0.5964912280701754,57
6EWU,86.13928571428572,59.7,80.41999999999999,5.987650277375579,0.03571428571428571,0.8928571428571429,56
r11_1081_TrROS_Hall,88.1191836734694,81.98,84.392,2.6428644787542996,0.0,0.7551020408163265,49
r12_757_TrROS_Hall,87.55611111111111,74.66,84.173,3.4237425272765196,0.0,0.7592592592592593,54
r18_3_TrROS_Hall,89.63865384615384,74.92,85.834,3.0702455856591393,0.0,0.4230769230769231,52
